filling time,[CH4] (ppb),δD SMOW (‰)
2016-11-06 06:36:00,1965.5965754153847,-79.52
2016-11-06 07:20:00,2027.5965754153847,-88.44
2016-11-06 07:42:00,2036.0,-89.42
2016-11-06 08:26:00,2120.0,-98.8
2016-11-06 08:48:00,2135.5965754153845,-104.67
2016-11-06 09:32:00,2076.5965754153845,-94.28
2016-11-06 09:54:00,2076.0,-97.31
2016-11-06 10:37:00,2091.0,-97.34
2016-11-06 10:59:00,2006.5965754153847,-89.31
2016-11-06 11:43:00,2051.5965754153845,-91.63
2016-11-06 12:05:00,1991.0,-82.46
2016-11-06 12:49:00,2012.0,-86.7
2016-11-06 13:11:00,1966.5965754153847,-78.36
2016-11-06 13:55:00,2006.5965754153847,-80.21
2016-11-06 14:17:00,2021.0,-93.23
2016-11-06 15:01:00,2050.0,-97.84
2016-11-06 15:23:00,2011.5965754153847,-99.57
2016-11-06 16:07:00,2003.5965754153847,-93.4
2016-11-06 16:29:00,2081.0,-99.53
2016-11-06 17:13:00,2047.0,-94.63
2016-11-06 17:35:00,2027.5965754153847,-98.32
2016-11-06 18:18:00,1983.5965754153847,-94.83
2016-11-06 18:40:00,1977.0,-88.41
2016-11-06 19:24:00,2002.0,-95.4
2016-11-06 19:46:00,1975.5965754153847,-84.15
2016-11-06 20:30:00,2235.5965754153845,-118.51
2016-11-06 20:52:00,2257.0,-113.92
2016-11-06 21:36:00,2179.0,-105.15
2016-11-06 21:58:00,2167.5965754153845,-103.64
2016-11-06 22:42:00,2094.5965754153845,-107.28
2016-11-06 23:04:00,2055.0,-91.59
2016-11-06 23:48:00,2114.0,-95.72
2016-11-07 00:10:00,2157.5965754153845,-105.85
2016-11-07 00:54:00,2014.5965754153847,-82.31
2016-11-07 01:15:00,2015.0,-87.37
2016-11-07 01:59:00,1997.0,-95.12
2016-11-07 02:21:00,1984.5965754153847,-88.6
2016-11-07 03:05:00,1983.5965754153847,-81.53
2016-11-07 03:27:00,1989.0,-81.53
2016-11-07 04:11:00,1987.0,-88.35
2016-11-07 04:33:00,1985.5965754153847,-89.5
2016-11-07 05:17:00,1980.5965754153847,-90.32
2016-11-07 05:39:00,1976.0,-92.17
2016-11-07 06:23:00,1975.0,-86.05
2016-11-07 06:45:00,1973.5965754153847,-88.99
2016-11-07 07:29:00,1973.5965754153847,-96.84
2016-11-07 07:51:00,1972.0,-89.04
2016-11-07 08:34:00,1982.0,-90.44
2016-11-07 08:56:00,1986.5965754153847,-86.1
2016-11-07 09:40:00,1971.5965754153847,-78.65
2016-11-07 10:02:00,1975.0,-93.05
2016-11-07 10:46:00,1982.0,-90.82
2016-11-07 11:08:00,1978.5965754153847,-96.05
2016-11-07 11:52:00,1966.5965754153847,-91.88
2016-11-07 12:14:00,1977.0,-84.45
2016-11-07 12:58:00,1977.0,-84.0
2016-11-07 13:20:00,1959.5965754153847,-95.09
2016-11-07 14:04:00,1983.5965754153847,-98.96
2016-11-07 14:26:00,1985.0,-85.98
2016-11-07 15:10:00,1991.0,-84.85
2016-11-07 15:32:00,1980.5965754153847,-82.92
2016-11-07 16:15:00,1970.5965754153847,-82.96
2016-11-07 16:37:00,1985.0,-84.8
2016-11-07 17:21:00,2012.0,-86.95
2016-11-07 17:43:00,2012.5965754153847,-95.42
2016-11-07 18:27:00,1982.5965754153847,-92.19
2016-11-07 18:49:00,2004.0,-89.69
2016-11-07 19:33:00,2004.0,-86.3
2016-11-07 19:55:00,1993.5965754153847,-82.72
2016-11-07 20:39:00,2022.5965754153847,-89.63
2016-11-07 23:26:00,2050.5965754153845,-110.89
2016-11-08 00:10:00,2013.5965754153847,-105.89
2016-11-08 00:32:00,2031.0,-97.87
2016-11-08 01:16:00,2020.0,-91.06
2016-11-08 01:38:00,2012.5965754153847,-93.95
2016-11-08 02:22:00,1992.5965754153847,-105.0
2016-11-08 02:44:00,1997.0,-94.86
2016-11-08 03:28:00,1994.0,-88.99
2016-11-08 03:50:00,1993.5965754153847,-97.71
2016-11-08 04:34:00,2028.5965754153847,-100.69
2016-11-08 04:56:00,2027.0,-90.31
2016-11-08 05:39:00,2090.0,-98.25
2016-11-08 06:02:00,2121.5965754153845,-100.26
2016-11-08 06:45:00,2084.5965754153845,-98.93
2016-11-08 07:07:00,2093.0,-102.38
2016-11-08 07:51:00,2070.0,-92.83
2016-11-08 08:13:00,2136.5965754153845,-99.64
2016-11-08 08:57:00,2138.5965754153845,-94.62
